seed,total-variance,feature1-xor_xor_xor
4,0.16878638,-0.00177300
4,0.17152897,-0.00176783
4,0.17413728,-0.00174653
4,0.17685005,-0.00172256
4,0.17946437,-0.00170054
4,0.18208370,-0.00167932
4,0.18447314,-0.00165487
4,0.18695244,-0.00162726
4,0.18953782,-0.00160722
4,0.19213459,-0.00159278
4,0.19484147,-0.00157186
4,0.19770156,-0.00157516
4,0.20075473,-0.00156153
4,0.20399234,-0.00154376
4,0.20732924,-0.00151878
4,0.21092819,-0.00149257
4,0.21478100,-0.00145546
4,0.21930860,-0.00140968
4,0.22431085,-0.00136770
4,0.22978862,-0.00132265
4,0.23665375,-0.00126344
4,0.24432909,-0.00121888
4,0.25253838,-0.00117863
4,0.26067591,-0.00114940
4,0.26974848,-0.00113224
4,0.27945942,-0.00112216
4,0.29048768,-0.00113818
4,0.30158621,-0.00115860
4,0.31418127,-0.00119544
4,0.32689849,-0.00122695
4,0.34031776,-0.00123760
4,0.35329032,-0.00124286
4,0.36602461,-0.00127996
4,0.37985200,-0.00130168
4,0.39519414,-0.00131568
4,0.41014346,-0.00135311
4,0.42628527,-0.00140498
4,0.44286075,-0.00149011
4,0.46246335,-0.00153939
4,0.48307520,-0.00158708
4,0.50275922,-0.00159215
4,0.52682787,-0.00161844
4,0.54967618,-0.00165483
4,0.58184540,-0.00162105
4,0.61313772,-0.00166184
4,0.63959700,-0.00170602
4,0.67414343,-0.00173400
4,0.71502149,-0.00178131
4,0.72392797,-0.00177215
4,0.73985028,-0.00165599
4,0.80511057,0.00389622
4,1.13655281,0.06668415
4,1.85496581,0.16531072
4,2.56554270,0.22717015
4,3.08784962,0.26086432
4,3.48009920,0.28137397
4,3.78861976,0.29557649
4,4.03711510,0.30603266
4,4.25468540,0.31418288
4,4.44055367,0.32090196
4,4.60585499,0.32656119
4,4.75251007,0.33144306
4,4.88913918,0.33567476
4,5.00975132,0.33942055
4,5.11916828,0.34274726
4,5.22478867,0.34575953
4,5.32480764,0.34847897
4,5.41591549,0.35095726
4,5.49958611,0.35325197
4,5.57942295,0.35537366
4,5.65715170,0.35734546
4,5.73074627,0.35918876
4,5.79961777,0.36091358
4,5.86464977,0.36252212
4,5.92946148,0.36404528
4,5.99010849,0.36548433
4,6.04732037,0.36685030
4,6.10375118,0.36815356
4,6.15810108,0.36939670
4,6.21059370,0.37057996
4,6.26098156,0.37171370
4,6.31055498,0.37279038
4,6.35672569,0.37381944
4,6.40227699,0.37480768
4,6.44860554,0.37574675
4,6.49129868,0.37664972
4,6.53343487,0.37752236
4,6.57468987,0.37836429
4,6.61401558,0.37916958
4,6.65262318,0.37994355
4,6.69086742,0.38069023
4,6.72702885,0.38141580
4,6.76313305,0.38211419
4,6.79907560,0.38280399
4,6.83351946,0.38346445
4,6.86786842,0.38410499
4,6.90029144,0.38472767
4,6.93210793,0.38533782
4,6.96435165,0.38592847
4,6.99472523,0.38650510
4,7.02455473,0.38706984
4,7.05462456,0.38761709
4,7.08365202,0.38815288
4,7.11185646,0.38867251
4,7.14053202,0.38918229
4,7.16776657,0.38968085
4,7.19541979,0.39016648
4,7.22212124,0.39064147
4,7.24842262,0.39110314
4,7.27411938,0.39155534
4,7.29937553,0.39199826
